country_name,iso3,year,capacity,growth,inflation_cpi,debt_gdp,reserves,tt,interest_revenue,wsdi_days,adapt_capacity,country_id,b_pre,sample_spread,sample_tax,mA_hat,spread_saving_component,TA_hat,theta_hat_A,sample_theta_support,b_pre_mA_hat,theta_recomputed_b_pre,theta_reconstruction_diff,b_pre_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,sample_debt_ns,sample_ready_ns,sample_criterion_theta,sample_criterion_debt,sample_criterion_ma,sample_criterion_ta,sample_criterion_bma,debt_hinge_low_ns,debt_hinge_high_ns,debt_kink_low,debt_kink_high,ready_debt_hinge_low_ns,ready_debt_hinge_high_ns,ready_debt_kink_low,ready_debt_kink_high
Russia,RUS,2017,.337628185749054,.0182700002193451,.0368300008773804,.1431099987030029,.274725112915039,.9219999694824219,.0152573359012604,.1605007007133727,.662371814250946,RUS,.1484899997711182,1,1,-.0128332148374226,-.0019056040682716,.0103645153970093,.0084589113287377,1,-.0019056040682716,.0084589113287377,0,0,-.0069099998474121,2018,.006867915391922,2017,1,1,1,1,1,1,1,0,.0334860581888012,0,.022180221114629,0,.0334860581888012,0,.0005109080377957
Russia,RUS,2018,.3314414024353027,.0280599999427795,.0287800002098084,.1361999988555908,.2835110664367676,1.080999984741211,.0141233396530151,.1248603142569073,.6685585975646973,RUS,.1431099987030029,1,1,-.0122029980061145,-.0017463710288278,.006350582947627,.0046042119187992,1,-.0017463710288278,.0046042119187992,0,0,.0012800025939942,2019,.0061867833137512,2018,1,1,1,1,1,1,1,0,.0296313587788627,0,.0198102996691328,0,.0296313587788627,0,.0004184937444142
Russia,RUS,2019,.3294239342212677,.0219799995422363,.0446999979019165,.137480001449585,.3273996734619141,1.093000030517578,.0075668406486511,,.6705760657787323,RUS,.1361999988555908,0,0,,,,,0,,,,0,.0541400051116943,2020,.002017468214035,2019,0,0,0,0,0,0,0,,,,,,,,
Russia,RUS,2020,.3376488089561462,-.0265400004386902,.0338199996948242,.1916200065612793,.4010232162475586,.8919999694824219,.004237288236618,,.6623511910438538,RUS,.137480001449585,0,0,,,,,0,,,,0,-.0263300132751465,2021,-.0082248747348785,2020,0,0,0,0,0,0,0,,,,,,,,
Russia,RUS,2021,.3357048034667969,.0586600017547607,.0669399976730347,.1652899932861328,.3456900405883789,1.151999969482422,.0092398154735565,,.6642951965332031,RUS,.1916200065612793,0,0,,,,,0,,,,0,-.0139499950408936,2022,.0019440054893494,2021,0,0,0,0,0,0,0,,,,,,,,
Russia,RUS,2022,.3296759128570557,-.0143499994277954,.1375,.1513399982452392,.2533127593994141,1.355,.0105309867858887,,.6703240871429443,RUS,.1652899932861328,0,0,,,,,0,,,,0,.0005599975585938,2023,.0060288906097412,2022,0,0,0,0,0,0,0,,,,,,,,
Russia,RUS,2023,.3296759128570557,.0406699991226196,.0585900020599365,.151899995803833,.2935187721252441,1.145999984741211,.0078470706939697,,.6703240871429443,RUS,.1513399982452392,0,0,,,,,0,,,,0,,,0,2023,0,0,0,0,0,0,0,,,,,,,,
Singapore,SGP,1995,.2829796969890594,.0717500019073486,.0172500002384186,.69822998046875,.7836664581298828,1.190878982543945,,,.7170203030109406,SGP,,0,0,,,,,0,,,,,.0144900512695313,1996,,,0,0,0,0,0,0,0,,,,,,,,
Singapore,SGP,1996,.2831865847110748,.0747100019454956,.0137899994850159,.7127200317382812,.799268569946289,1.191314239501953,,,.7168134152889252,SGP,.69822998046875,0,0,,,,,0,,,,0,-.0048500061035156,1997,-.0002068877220154,1996,0,0,0,0,0,0,0,,,,,,,,
Singapore,SGP,1997,.2811599373817444,.0831599998474121,.0202300000190735,.7078700256347656,.7130166625976563,1.194588851928711,,,.7188400626182556,SGP,.7127200317382812,0,0,,,,,0,,,,0,.1385900115966797,1998,.0020266473293304,1997,0,0,0,0,0,0,0,,,,,,,,
