criterion,variable,cutoff,rss,N,N_low,N_high
TA,TA_hat,-.0373754766654687,9.7529707,1373,575,798
TA,TA_hat,-.0373649913476512,9.753108,1373,575,798
TA,TA_hat,-.0373410167067289,9.7534018,1373,577,796
TA,TA_hat,-.0373072455644881,9.7537241,1373,578,795
TA,TA_hat,-.0372278211953994,9.7544794,1373,578,795
TA,TA_hat,-.0372108590891124,9.7545853,1373,580,793
TA,TA_hat,-.0371115355767203,9.7551966,1373,580,793
TA,TA_hat,-.0370489011097938,9.7554865,1373,581,792
TA,TA_hat,-.0370040610690904,9.7556953,1373,583,790
TA,TA_hat,-.0369900072991324,9.7557755,1373,584,789
TA,TA_hat,-.036882829365273,9.7566404,1373,584,789
