country_name,iso3,year,bond_spreads,bond_10y,vulnerability100,vulnerability_delta100,readiness100,readiness_delta100,lnrgdp,growth,inflation_cpi,debt_gdp,PrimaryBalance_gdp,reserves,gee,rqe,tt,is_advanced,Revenue_gdp,CurrentGDP,ConstantGDP,capitaGDP,OverallBalance_gdp,revenue,debt,interest_revenue,taxgdp
Croatia,HRV,2021,-0.459428,0.980541,37.79929363,-0.90014495719612,48.42948123,-0.799062718793059,4.066322246,12.629,2.745,78.205,-1.173,40.99639487043286219081272085,0.5523746014,0.4935465753,93.1,0,45.619,69.052,58.342,36913.939,-2.57,26.616,45.628,3.0623205243429275,25.674481978507892
Croatia,HRV,2022,-0.172867,2.77899,38.00320729,0.711813286026108,49.0584676,-2.33665520975153,4.136749304,7.297,10.664,68.547,1.361,41.71702343254655682950446974,0.5813136101,0.5025498867,89.8,0,45.153,71.257,62.599,39843.66,0.141,30.53,46.347,2.7019245675813344,26.436016090628101
Croatia,HRV,2023,-0.124052,3.837963,37.98277979,1.71192574670586,49.28057449,-3.68486813532029,4.173663931,3.76,8.396,60.949,0.494,3.708576912499036743843917475,0.7126536965,0.6439002752,87.6,0,45.496,85.647,64.953,41299.117,-0.785,36.027,48.264,2.8112361526288026,26.50813978811442
Czech Republic,CZE,1995,,,26.66941978,-18.4681016695866,46.23835149,6.91618014644447,8.113460482,,,13.476,-12.019,24.12699439345859820028069017,,,,1,40.548,60.565,3339.113,27993.73,-12.278,651.854,216.645,0.6387491368254907,20.125392590528314
Czech Republic,CZE,1996,,,26.72964543,-18.1761564318498,46.31130818,6.63258651201316,8.157716612,4.525,8.738,11.506,-2.518,19.29764229000899638669714623,0.6205829978,1.071839333,,1,38.451,67.805,3490.208,29293.951,-2.976,707.704,211.777,1.1911263686250033,18.915968870276153
Czech Republic,CZE,1997,,,26.6086988,-18.2600407632107,45.80216992,6.0664199507449,8.151740406,-0.596,8.627,12.124,-2.775,16.04958104251783144090836399,,,,1,38.198,62.53,3469.412,29153.886,-3.136,757.253,240.341,0.9450756584114351,18.861262202869923
Czech Republic,CZE,1998,,,26.47707891,-18.3482104521599,45.57419119,5.7715837626845,8.147801156,-0.393,10.645,13.877,-3.694,18.79809925292223165229820878,0.5855567455,0.9168806076,,1,37.492,67.161,3455.772,29067.498,-4.139,813.165,300.976,1.1869198762402646,17.962924711510624
Czech Republic,CZE,1999,,,26.39292051,-18.3115830225546,44.55929619,4.57083382749258,8.161490632,1.378,2.178,15.088,-2.575,19.7230452016376970694965389,,,,1,37.804,65.586,3503.405,29495.371,-3.08,857.13,342.083,1.3358374775156068,18.639732718792381
Czech Republic,CZE,2000,1.030525,7.05928,26.17507019,-18.2955973057785,43.69644749,3.3481781895857,8.200813932,4.011,3.781,16.895,-3.401,21.13778087522140547843850027,0.587459147,0.7436658144,97.30184646,1,37.046,62.171,3643.915,30712.727,-3.547,888.998,405.418,0.39410462668034335,18.091178063924659
Czech Republic,CZE,2001,1.366628,6.3689,26.12405781,-17.9593552119678,45.29880033,4.35465687781197,8.229568717,2.917,4.644,22.597,-5.422,21.22812617879652459786309733,,,99.47328204,1,37.345,68.136,3750.216,31751.007,-5.757,967.813,585.615,0.8970411032266702,18.087424862265173
Czech Republic,CZE,2002,0.325426,4.91147,26.00387836,-17.9023135040587,46.71935902,5.50252277305689,8.244589927,1.513,1.946,25.703,-6.015,28.70244468050692527483171098,0.9219973087,1.11261797,102.1018316,1,38.091,82.596,3806.974,32329.003,-6.345,1030.148,695.133,0.8663463810348901,18.432474285126897
Czech Republic,CZE,2003,0.146587,4.146741,25.95188144,-17.6006631659324,47.46897088,5.70797240446533,8.277065218,3.301,0.1,28.062,-6.457,26.82870462497506743239342696,0.8541763425,1.136814356,102.9459395,1,42.076,100.471,3932.636,33424.089,-6.875,1192.083,795.04,0.993440441106569,19.024303640022204
Czech Republic,CZE,2004,0.619542,4.877158,25.88666367,-17.2781206347798,46.82634037,4.46868942579346,8.323341174,4.736,2.743,28.289,-1.807,23.68007049828111995205912708,0.864507556,0.9995909929,105.7977995,1,39.802,120.148,4118.899,34997.903,-2.405,1228.984,873.493,1.5024370634641475,19.613754490690226
Czech Republic,CZE,2005,-0.804229,3.48043,25.93539669,-16.914577617396,47.58239263,4.74033892607718,8.385141846,6.375,1.856,27.678,-2.408,21.53043234663873994638069705,0.9130307436,1.109028459,107.8,1,39.271,137.264,4381.48,37216.224,-3.061,1291.436,910.183,1.6628046140918236,19.509818023027567
Czech Republic,CZE,2006,-1.015994,3.776618,25.9001723,-16.4443663368474,48.4519639,4.83218890236619,8.449272531,6.623,2.509,27.565,-1.562,20.13420164019080109577818173,1.082499385,1.108067632,105.1,1,39.282,156.236,4671.673,39585.165,-2.186,1386.756,973.107,1.5885138231250955,19.101752509452584
Czech Republic,CZE,2007,-0.399785,4.231719,25.8143652,-15.8721324912677,49.40967388,4.77736162871712,8.502707377,5.489,2.9,27.346,-0.054,18.38722394540504095446285127,0.8451918364,1.053171277,102.6,1,39.791,189.845,4928.093,41633.086,-0.678,1534.607,1054.633,1.5681938126712072,19.515177633109122
