specification,cutoff,rss,N,N_low,N_high
current_debt,-.0030310228466988,1.14299714565277,742,305,437
current_debt,-.0030066927429289,1.14299535751343,742,306,436
current_debt,-.0029225302860141,1.14298915863037,742,307,435
current_debt,-.0028747150208801,1.14298629760742,742,309,433
current_debt,-.0028144640382379,1.14298295974731,742,310,432
current_debt,-.0026505847927183,1.14297354221344,742,310,432
current_debt,-.0026438520289958,1.14297330379486,742,311,431
current_debt,-.0026175857055932,1.1429728269577,742,313,429
current_debt,-.0024604988284409,1.14297044277191,742,314,428
current_debt,-.0024259178899229,1.14296996593475,742,314,428
current_debt,-.0023782958742231,1.14297103881836,742,316,426
current_debt,-.0023511482868344,1.14297270774841,742,316,426
current_debt,-.002235465683043,1.1429808139801,742,318,424
current_debt,-.0022128093987703,1.14298212528229,742,319,423
current_debt,-.0020720302127302,1.14298903942108,742,319,423
current_debt,-.0020048792939633,1.14299345016479,742,321,421
current_debt,-.0018565155332908,1.14300179481506,742,322,420
current_debt,-.0018545280909166,1.14300191402435,742,322,420
current_debt,-.0018367884913459,1.14300417900085,742,324,418
current_debt,-.0017268618103117,1.14301455020905,742,324,418
current_debt,-.0016664819559082,1.14302110671997,742,326,416
current_debt,-.001627606456168,1.14302623271942,742,326,416
current_debt,-.0016144200926647,1.14302754402161,742,327,415
current_debt,-.0015460209688172,1.14304327964783,742,328,414
current_debt,-.0015208616387099,1.14304828643799,742,330,412
current_debt,-.0012515404960141,1.14310109615326,742,330,412
current_debt,-.0009181346395053,1.14317631721497,742,331,411
current_debt,-.0008595667313784,1.14319014549255,742,333,409
current_debt,-.0008548463811167,1.14319133758545,742,333,409
current_debt,-.0007196583319455,1.14322292804718,742,335,407
current_debt,-.0006298725493252,1.1432443857193,742,336,406
current_debt,-.0004992419853806,1.14327359199524,742,337,405
current_debt,-.0004844482755288,1.14327669143677,742,338,404
current_debt,-.000465227116365,1.14328074455261,742,338,404
current_debt,-.0003288265434094,1.14331102371216,742,339,403
current_debt,-.000289112329483,1.14331901073456,742,341,401
current_debt,.0000354866606358,1.14342713356018,742,342,400
current_debt,.0000677027928759,1.14343774318695,742,342,400
current_debt,.0000819787164801,1.14344239234924,742,344,398
current_debt,.0003152684075758,1.14351677894592,742,345,397
current_debt,.0003825378371403,1.1435387134552,742,346,396
current_debt,.0004154831694905,1.14354956150055,742,347,395
current_debt,.0004591168544721,1.14356362819672,742,348,394
current_debt,.000467672245577,1.14356696605682,742,349,393
current_debt,.0006256437045522,1.14363074302673,742,349,393
current_debt,.0007192695629783,1.14366662502289,742,351,391
current_debt,.0008714663563296,1.14372563362122,742,351,391
current_debt,.0008770467247814,1.14372777938843,742,353,389
current_debt,.0009810402989388,1.14376580715179,742,354,388
current_debt,.0009901371086016,1.14376902580261,742,354,388
current_debt,.001282463199459,1.14386475086212,742,355,387
current_debt,.0014369591372088,1.14392113685608,742,357,385
current_debt,.0014764005318284,1.14393579959869,742,357,385
current_debt,.0015056260162964,1.14394700527191,742,358,384
current_debt,.0016943713417277,1.14402079582214,742,360,382
current_debt,.0017373283626512,1.14403831958771,742,361,381
current_debt,.0020191292278469,1.14414525032043,742,362,380
current_debt,.0020229564979672,1.1441468000412,742,362,380
current_debt,.0021087354980409,1.14417862892151,742,363,379
current_debt,.0022393499966711,1.14422595500946,742,365,377
current_debt,.0023043800611049,1.14425003528595,742,366,376
current_debt,.0023601865395904,1.14427042007446,742,367,375
current_debt,.0024512915406376,1.14430916309357,742,367,375
current_debt,.0026177738327533,1.14438426494598,742,368,374
current_debt,.0027526027988642,1.14444398880005,742,369,373
current_debt,.0027580501046032,1.14444649219513,742,371,371
current_debt,.002778401132673,1.14445567131042,742,371,371
current_debt,.0030400536488742,1.14456331729889,742,373,369
current_debt,.003118387889117,1.14459598064423,742,373,369
current_debt,.0033660570625216,1.14469563961029,742,375,367
current_debt,.0034437028225511,1.1447274684906,742,375,367
current_debt,.0034466504584998,1.1447286605835,742,377,365
current_debt,.0036887037567794,1.14480912685394,742,377,365
current_debt,.0038137293886393,1.14485108852386,742,378,364
current_debt,.0039824079722166,1.1449089050293,742,379,363
current_debt,.0040839547291398,1.14494287967682,742,380,362
current_debt,.0041120033711195,1.14495182037354,742,382,360
current_debt,.0042770695872605,1.14500486850739,742,383,359
current_debt,.0043233665637672,1.14502024650574,742,384,358
current_debt,.0043441890738904,1.14502680301666,742,384,358
current_debt,.0043887947686017,1.14504182338715,742,386,356
current_debt,.0044191358610988,1.14505207538605,742,387,355
current_debt,.0044751917012036,1.14507043361664,742,388,354
current_debt,.0045881057158113,1.14510631561279,742,389,353
current_debt,.0047540157102048,1.14515912532806,742,389,353
current_debt,.0047895438037813,1.14517068862915,742,391,351
current_debt,.0049525336362422,1.14522278308868,742,392,350
current_debt,.0050019668415189,1.14523804187775,742,393,349
current_debt,.0050328210927546,1.14524757862091,742,393,349
current_debt,.0050956686027348,1.14526748657227,742,394,348
current_debt,.0053040310740471,1.14533126354218,742,396,346
current_debt,.005542466416955,1.14540374279022,742,397,345
current_debt,.0057869362644851,1.14547634124756,742,397,345
current_debt,.0061185387894511,1.14557182788849,742,398,344
current_debt,.0061197313480079,1.14557206630707,742,399,343
current_debt,.0064432793296874,1.14565920829773,742,401,341
current_debt,.0064479792490602,1.14566040039063,742,402,340
current_debt,.0065023358911276,1.14567506313324,742,403,339
current_debt,.0065114982426167,1.14567756652832,742,404,338
current_debt,.006520398426801,1.14567995071411,742,405,337
current_debt,.0066134892404079,1.14570343494415,742,405,337
current_debt,.006627335678786,1.14570689201355,742,406,336
current_debt,.0068166214041412,1.14575278759003,742,408,334
current_debt,.0068214535713196,1.14575397968292,742,409,333
current_debt,.006845363881439,1.14575958251953,742,410,332
current_debt,.0072101522237062,1.14584195613861,742,410,332
current_debt,.0072570145130157,1.14585316181183,742,411,331
current_debt,.0073929545469582,1.14588594436646,742,412,330
current_debt,.0075976350344718,1.14593362808228,742,414,328
current_debt,.007715068757534,1.14596140384674,742,414,328
current_debt,.0077212359756231,1.14596283435822,742,415,327
current_debt,.007762610912323,1.1459721326828,742,417,325
current_debt,.0078546069562435,1.1459926366806,742,417,325
current_debt,.0079062953591347,1.14600419998169,742,419,323
current_debt,.0081718042492867,1.14606428146362,742,420,322
current_debt,.0082294857129455,1.14607727527618,742,421,321
current_debt,.0084934271872044,1.14613664150238,742,422,320
current_debt,.0085562961176038,1.14615070819855,742,423,319
current_debt,.0085708415135741,1.14615392684937,742,423,319
current_debt,.0087930969893932,1.14620316028595,742,424,318
current_debt,.0089560318738222,1.14623892307281,742,425,317
current_debt,.0091323684900999,1.14627766609192,742,426,316
current_debt,.0091620581224561,1.14628422260284,742,428,314
current_debt,.0091675473377109,1.14628529548645,742,429,313
current_debt,.0091844135895371,1.14628899097443,742,429,313
current_debt,.0092143910005689,1.14629554748535,742,431,311
current_debt,.0092991888523102,1.14631259441376,742,432,310
current_debt,.0094386134296656,1.14634037017822,742,433,309
current_debt,.0097214439883828,1.14639830589294,742,433,309
current_debt,.0098336888477206,1.14641988277435,742,434,308
current_debt,.0098449727520347,1.14642202854156,742,436,306
current_debt,.0099067781120539,1.14643383026123,742,437,305
current_debt,.0100810946896672,1.14646565914154,742,437,305
current_debt,.0102622592821717,1.14649891853333,742,438,304
current_debt,.0103519139811397,1.1465151309967,742,440,302
current_debt,.0103757428005338,1.14651942253113,742,441,301
